"input_len","median","desc","acronym"
1,8,"gigs_stata","who_gs"
10,9,"gigs_stata","who_gs"
100,9,"gigs_stata","who_gs"
500,10,"gigs_stata","who_gs"
1000,12,"gigs_stata","who_gs"
5000,24,"gigs_stata","who_gs"
10000,40,"gigs_stata","who_gs"
25000,87,"gigs_stata","who_gs"
50000,169,"gigs_stata","who_gs"
75000,256,"gigs_stata","who_gs"
100000,351,"gigs_stata","who_gs"
1,7,"zanthro","who_gs"
10,8,"zanthro","who_gs"
100,8,"zanthro","who_gs"
500,13,"zanthro","who_gs"
1000,18,"zanthro","who_gs"
5000,60,"zanthro","who_gs"
10000,111,"zanthro","who_gs"
25000,266,"zanthro","who_gs"
50000,525,"zanthro","who_gs"
75000,789,"zanthro","who_gs"
100000,1063,"zanthro","who_gs"
1,4,"gigs_stata","ig_nbs"
10,4,"gigs_stata","ig_nbs"
100,4,"gigs_stata","ig_nbs"
500,6,"gigs_stata","ig_nbs"
1000,8,"gigs_stata","ig_nbs"
5000,22,"gigs_stata","ig_nbs"
10000,40,"gigs_stata","ig_nbs"
25000,93,"gigs_stata","ig_nbs"
50000,183,"gigs_stata","ig_nbs"
75000,277,"gigs_stata","ig_nbs"
100000,382,"gigs_stata","ig_nbs"
1,2,"gigs_stata","ig_png"
10,2,"gigs_stata","ig_png"
100,2,"gigs_stata","ig_png"
500,3,"gigs_stata","ig_png"
1000,3,"gigs_stata","ig_png"
5000,8,"gigs_stata","ig_png"
10000,14,"gigs_stata","ig_png"
25000,30,"gigs_stata","ig_png"
50000,54,"gigs_stata","ig_png"
75000,80,"gigs_stata","ig_png"
100000,108,"gigs_stata","ig_png"
1,2,"gigs_stata","ig_fet"
10,2,"gigs_stata","ig_fet"
100,2,"gigs_stata","ig_fet"
500,2,"gigs_stata","ig_fet"
1000,3,"gigs_stata","ig_fet"
5000,5,"gigs_stata","ig_fet"
10000,8,"gigs_stata","ig_fet"
25000,16,"gigs_stata","ig_fet"
50000,30,"gigs_stata","ig_fet"
75000,42,"gigs_stata","ig_fet"
100000,58,"gigs_stata","ig_fet"
